Word,Frequency,Percentage
и,10123,4.24%
–,8186,3.43%
в,4863,2.04%
не,4217,1.77%
что,3630,1.52%
на,3200,1.34%
с,3023,1.27%
он,3010,1.26%
как,1909,0.80%
его,1867,0.78%
к,1774,0.74%
то,1597,0.67%
я,1336,0.56%
она,1195,0.50%
сказал,1140,0.48%
было,1131,0.47%
это,1021,0.43%
за,961,0.40%
так,946,0.40%
но,941,0.39%
ее,892,0.37%
ему,881,0.37%
по,857,0.36%
всё,835,0.35%
из,815,0.34%
Он,803,0.34%
же,802,0.34%
был,793,0.33%
от,774,0.32%
о,759,0.32%
князь,708,0.30%
бы,679,0.28%
у,660,0.28%
а,646,0.27%
только,639,0.27%
Пьер,619,0.26%
Андрей,593,0.25%
Я,575,0.24%
еще,560,0.23%
вы,522,0.22%
для,504,0.21%
Наташа,498,0.21%
И,486,0.20%
была,466,0.20%
сказала,465,0.19%
него,464,0.19%
В,444,0.19%
мне,444,0.19%
себя,437,0.18%
Ростов,430,0.18%
чтобы,403,0.17%
ты,398,0.17%
все,398,0.17%
были,395,0.17%
Она,388,0.16%
ни,382,0.16%
быть,381,0.16%
когда,369,0.15%
уже,369,0.15%
говорил,363,0.15%
этого,357,0.15%
теперь,355,0.15%
того,352,0.15%
время,350,0.15%
меня,347,0.15%
de,336,0.14%
их,327,0.14%
Но,322,0.13%
А,319,0.13%
Князь,314,0.13%
который,313,0.13%
очень,312,0.13%
ей,312,0.13%
себе,311,0.13%
опять,311,0.13%
до,298,0.12%
или,297,0.12%
ничего,297,0.12%
том,295,0.12%
они,295,0.12%
будто,295,0.12%
князя,288,0.12%
ли,287,0.12%
Да,284,0.12%
Ну,278,0.12%
этот,277,0.12%
чем,277,0.12%
которые,262,0.11%
ней,259,0.11%
всех,258,0.11%
Что,258,0.11%
тем,256,0.11%
раз,255,0.11%
вас,255,0.11%
во,248,0.10%
своей,248,0.10%
глаза,244,0.10%
Николай,238,0.10%
Марья,237,0.10%
ним,237,0.10%
под,233,0.10%
после,233,0.10%
будет,231,0.10%
своего,225,0.09%
Как,224,0.09%
лицо,222,0.09%
свою,219,0.09%
мой,218,0.09%
где,215,0.09%
дело,213,0.09%
